open_date,direction,entry_time,pivot_time,outcome,label_win,retrace,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,zone_over_range,pivot_over_range,dist_to_extrema_atr,zone_to_extrema_atr,hod_rel_entry_atr,lod_rel_entry_atr
2025-02-03,long,2025-02-03 09:59:00-05:00,2025-02-03 09:59:00-05:00,loss,0,0.5157894736842106,47.5,0.0,9.75,9.75,9.75,0.0,0,1,0.28822495606326887,0.3339191564147627,3.112009237875289,3.1039260969976907,3.112009237875289,0.0
2025-02-03,short,2025-02-03 10:07:00-05:00,2025-02-03 10:06:00-05:00,win,1,0.5427350427350427,58.5,60.0,2.0,8.5,2.8333333333333335,1.0,3,3,0.24082232011747431,0.3436123348017621,0.7720295622512792,1.0585559977259806,0.0,0.7720295622512792
2025-02-05,long,2025-02-05 09:44:00-05:00,2025-02-05 09:43:00-05:00,loss,0,0.6482758620689655,36.25,60.0,7.75,19.5,6.5,0.6666666666666666,2,3,0.33454545454545453,0.5272727272727272,1.0907424381301558,1.527039413382218,1.0907424381301558,0.0
2025-02-05,short,2025-02-05 10:12:00-05:00,2025-02-05 10:06:00-05:00,loss,0,0.4888888888888889,45.0,360.0,3.0,69.5,5.346153846153846,0.6153846153846154,4,13,0.21296296296296297,0.4166666666666667,0.7109375,1.2395833333333335,0.0,0.7109375
2025-02-05,short,2025-02-05 10:24:00-05:00,2025-02-05 10:24:00-05:00,loss,0,0.4521276595744681,47.0,0.0,7.25,7.25,7.25,0.0,0,1,0.21296296296296297,0.4351851851851852,1.8513302034428794,1.489827856025039,0.0,1.8513302034428794
2025-02-05,long,2025-02-05 10:34:00-05:00,2025-02-05 10:33:00-05:00,win,1,0.5548780487804879,41.0,60.0,1.5,14.25,4.75,0.6666666666666666,1,3,0.21296296296296297,0.37962962962962965,2.1142303969022262,2.764762826718296,2.1142303969022262,0.0
2025-02-06,long,2025-02-06 09:52:00-05:00,2025-02-06 09:51:00-05:00,win,1,0.5466666666666666,37.5,60.0,5.0,16.75,5.583333333333333,0.6666666666666666,1,3,0.38636363636363635,0.487012987012987,0.7615062761506275,1.9916317991631798,0.7615062761506275,0.0
2025-02-06,long,2025-02-06 10:08:00-05:00,2025-02-06 10:03:00-05:00,win,1,0.4619289340101523,49.25,300.0,3.5,38.0,3.4545454545454546,0.8181818181818182,4,11,0.35103244837758113,0.5811209439528023,2.020785219399538,2.699769053117783,2.020785219399538,0.0
2025-02-06,long,2025-02-06 11:07:00-05:00,2025-02-06 11:06:00-05:00,win,1,0.4285714285714285,21.0,60.0,3.25,18.25,6.083333333333333,0.6666666666666666,1,3,0.26681614349775784,0.18834080717488788,5.796711509715994,5.733931240657698,5.796711509715994,0.0
2025-02-06,long,2025-02-06 11:51:00-05:00,2025-02-06 11:46:00-05:00,loss,0,0.5785714285714286,35.0,300.0,4.0,23.5,2.1363636363636362,0.6363636363636364,5,11,0.26681614349775784,0.31390134529147984,7.5141242937853105,7.224105461393597,7.5141242937853105,0.0
