open_date,direction,displacement_category,entry_time,pivot_time,flem_time,current_time,label,retrace,pivot_price,flem_price,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:00:00-05:00,0,35.40625,21466.0,21474.0,8.0,15840.0,0.5,0.5,0.5,0.0,0,1
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:00:30-05:00,0,35.34375,21466.0,21474.0,8.0,15870.0,0.25,0.75,0.375,0.0,0,2
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:01:00-05:00,0,35.21875,21466.0,21474.0,8.0,15900.0,1.0,1.75,0.5833333333333334,0.0,0,3
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:01:30-05:00,0,35.625,21466.0,21474.0,8.0,15930.0,3.0,4.75,1.1875,0.25,1,4
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:02:00-05:00,0,35.71875,21466.0,21474.0,8.0,15960.0,0.25,5.0,1.0,0.4,2,5
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:02:30-05:00,0,35.75,21466.0,21474.0,8.0,15990.0,0.5,5.5,0.9166666666666666,0.5,3,6
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:03:00-05:00,0,35.9375,21466.0,21474.0,8.0,16020.0,1.0,6.5,0.9285714285714286,0.5714285714285714,4,7
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:03:30-05:00,0,34.84375,21466.0,21474.0,8.0,16050.0,8.75,15.25,1.90625,0.5,4,8
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:04:00-05:00,0,34.59375,21466.0,21474.0,8.0,16080.0,2.25,17.5,1.9444444444444444,0.4444444444444444,4,9
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:04:30-05:00,0,33.9375,21466.0,21474.0,8.0,16110.0,5.0,22.5,2.25,0.4,4,10
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:05:00-05:00,0,33.375,21466.0,21474.0,8.0,16140.0,5.0,27.5,2.5,0.36363636363636365,4,11
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:05:30-05:00,0,33.375,21466.0,21474.0,8.0,16170.0,0.25,27.75,2.3125,0.4166666666666667,4,12
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:06:00-05:00,0,33.25,21466.0,21474.0,8.0,16200.0,1.25,29.0,2.230769230769231,0.38461538461538464,4,13
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:06:30-05:00,0,33.34375,21466.0,21474.0,8.0,16230.0,0.75,29.75,2.125,0.42857142857142855,4,14
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:07:00-05:00,0,33.0625,21466.0,21474.0,8.0,16260.0,1.75,31.5,2.1,0.4,4,15
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:07:30-05:00,0,33.5,21466.0,21474.0,8.0,16290.0,2.75,34.25,2.140625,0.4375,4,16
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:08:00-05:00,0,33.4375,21466.0,21474.0,8.0,16320.0,0.25,34.5,2.0294117647058822,0.4117647058823529,4,17
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:08:30-05:00,0,33.4375,21466.0,21474.0,8.0,16350.0,0.5,35.0,1.9444444444444444,0.4444444444444444,4,18
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:09:00-05:00,0,33.28125,21466.0,21474.0,8.0,16380.0,0.75,35.75,1.881578947368421,0.42105263157894735,4,19
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:09:30-05:00,0,33.40625,21466.0,21474.0,8.0,16410.0,0.75,36.5,1.825,0.45,4,20
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:10:00-05:00,0,33.5,21466.0,21474.0,8.0,16440.0,0.5,37.0,1.7619047619047619,0.47619047619047616,4,21
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:10:30-05:00,0,33.3125,21466.0,21474.0,8.0,16470.0,1.5,38.5,1.75,0.45454545454545453,4,22
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:11:00-05:00,0,33.53125,21466.0,21474.0,8.0,16500.0,1.75,40.25,1.75,0.4782608695652174,4,23
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:11:30-05:00,0,34.5,21466.0,21474.0,8.0,16530.0,7.0,47.25,1.96875,0.5,4,24
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:12:00-05:00,0,33.65625,21466.0,21474.0,8.0,16560.0,6.75,54.0,2.16,0.48,4,25
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:12:30-05:00,0,33.78125,21466.0,21474.0,8.0,16590.0,0.5,54.5,2.0961538461538463,0.5,4,26
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:13:00-05:00,0,33.28125,21466.0,21474.0,8.0,16620.0,4.25,58.75,2.175925925925926,0.48148148148148145,4,27
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:13:30-05:00,0,33.59375,21466.0,21474.0,8.0,16650.0,2.5,61.25,2.1875,0.5,4,28
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:14:00-05:00,0,33.78125,21466.0,21474.0,8.0,16680.0,1.25,62.5,2.1551724137931036,0.5172413793103449,4,29
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:14:30-05:00,0,34.40625,21466.0,21474.0,8.0,16710.0,4.75,67.25,2.2416666666666667,0.5333333333333333,4,30
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:15:00-05:00,0,31.375,21466.0,21474.0,8.0,16740.0,24.25,91.5,2.9516129032258065,0.5161290322580645,4,31
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:15:30-05:00,0,27.21875,21466.0,21474.0,8.0,16770.0,32.5,124.0,3.875,0.5,4,32
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:16:00-05:00,0,27.4375,21466.0,21474.0,8.0,16800.0,1.25,125.25,3.7954545454545454,0.5151515151515151,4,33
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:16:30-05:00,0,25.78125,21466.0,21474.0,8.0,16830.0,13.75,139.0,4.088235294117647,0.5,4,34
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:17:00-05:00,0,27.6875,21466.0,21474.0,8.0,16860.0,15.5,154.5,4.414285714285715,0.5142857142857142,4,35
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:17:30-05:00,0,29.28125,21466.0,21474.0,8.0,16890.0,12.5,167.0,4.638888888888889,0.5277777777777778,4,36
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:18:00-05:00,0,26.84375,21466.0,21474.0,8.0,16920.0,19.5,186.5,5.04054054054054,0.5135135135135135,4,37
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:18:30-05:00,0,26.0,21466.0,21474.0,8.0,16950.0,6.5,193.0,5.078947368421052,0.5,4,38
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:19:00-05:00,0,26.78125,21466.0,21474.0,8.0,16980.0,7.25,200.25,5.134615384615385,0.5128205128205128,4,39
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:19:30-05:00,0,26.25,21466.0,21474.0,8.0,17010.0,4.5,204.75,5.11875,0.5,4,40
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:20:00-05:00,0,25.90625,21466.0,21474.0,8.0,17040.0,2.5,207.25,5.054878048780488,0.4878048780487805,4,41
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:20:30-05:00,0,26.84375,21466.0,21474.0,8.0,17070.0,7.75,215.0,5.119047619047619,0.5,4,42
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:21:00-05:00,0,27.15625,21466.0,21474.0,8.0,17100.0,2.5,217.5,5.058139534883721,0.5116279069767442,4,43
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:21:30-05:00,0,27.78125,21466.0,21474.0,8.0,17130.0,4.25,221.75,5.0397727272727275,0.5227272727272727,4,44
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:22:00-05:00,0,28.71875,21466.0,21474.0,8.0,17160.0,6.5,228.25,5.072222222222222,0.5333333333333333,4,45
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:22:30-05:00,0,28.375,21466.0,21474.0,8.0,17190.0,3.5,231.75,5.038043478260869,0.5217391304347826,4,46
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:23:00-05:00,0,28.5,21466.0,21474.0,8.0,17220.0,1.0,232.75,4.952127659574468,0.5319148936170213,4,47
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:23:30-05:00,0,28.8125,21466.0,21474.0,8.0,17250.0,2.25,235.0,4.895833333333333,0.5416666666666666,4,48
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:24:00-05:00,0,27.59375,21466.0,21474.0,8.0,17280.0,9.25,244.25,4.98469387755102,0.5306122448979592,4,49
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:24:30-05:00,0,27.65625,21466.0,21474.0,8.0,17310.0,1.0,245.25,4.905,0.54,4,50
2025-01-06,long,low,2025-01-06 09:38:00-05:00,2025-01-06 04:36:00-05:00,2025-01-06 04:35:00-05:00,2025-01-06 09:25:00-05:00,0,30.65625,21466.0,21474.0,8.0,17340.0,23.0,268.25,5.259803921568627,0.5490196078431373,4,51
