day,direction,virtual_direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score,mirror_mode
2025-01-02,long,short,2025-01-02 11:41:00-05:00,21318.5,2025-01-02 11:42:30-05:00,21309.75,-577.5,33,495.0,win,target,21326.0,21186.0,2025-01-02 11:40:00-05:00,2025-01-02 11:40:00-05:00,2025-01-02 11:41:00-05:00,7.5,21309.5,,,0.05178571428571429,0,False,0.6866011619567871,True
2025-01-02,long,short,2025-01-02 11:50:00-05:00,21345.5,2025-01-02 11:50:30-05:00,21339.75,-575.0,50,500.0,win,target,21350.5,21186.0,2025-01-02 11:49:00-05:00,2025-01-02 11:49:00-05:00,2025-01-02 11:50:00-05:00,5.0,21339.5,,,0.028875379939209727,1,False,0.8347118854522705,True
2025-01-07,long,short,2025-01-07 09:53:00-05:00,21790.5,2025-01-07 09:53:30-05:00,21788.0,-555.0,111,499.5,win,target,21792.75,21695.0,2025-01-07 09:46:00-05:00,2025-01-07 09:46:00-05:00,2025-01-07 09:53:00-05:00,2.25,21787.75,,,0.020460358056265986,1,False,0.8827272772789001,True
2025-01-08,long,short,2025-01-08 09:49:00-05:00,21343.0,2025-01-08 09:50:00-05:00,21368.25,1060.5,21,483.0,loss,direction_flip,21354.5,21303.5,2025-01-08 09:48:00-05:00,2025-01-08 09:48:00-05:00,2025-01-08 09:48:00-05:00,11.5,21329.25,2025-01-08 09:50:00-05:00,21354.5,0.22058823529411764,0,False,0.7103721857070923,True
2025-01-08,long,short,2025-01-08 10:00:00-05:00,21344.0,2025-01-08 10:01:00-05:00,21369.0,1100.0,22,484.0,loss,direction_flip,21355.0,21285.0,2025-01-08 09:55:00-05:00,2025-01-08 09:55:00-05:00,2025-01-08 09:57:00-05:00,11.0,21330.75,2025-01-08 10:01:00-05:00,21355.0,0.15357142857142858,0,False,0.8411394596099854,True
2025-01-08,short,long,2025-01-08 10:09:00-05:00,21352.0,2025-01-08 10:09:30-05:00,21362.5,-567.0,27,486.0,win,target,21343.0,21379.25,2025-01-08 10:02:00-05:00,2025-01-08 10:02:00-05:00,2025-01-08 10:09:00-05:00,9.0,21362.75,,,0.2413793103448276,0,False,0.9238181829452514,True
2025-01-08,long,short,2025-01-08 10:42:00-05:00,21327.5,2025-01-08 10:43:00-05:00,21319.0,-578.0,34,493.0,win,target,21334.75,21316.0,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,2025-01-08 10:41:00-05:00,7.25,21318.75,,,0.37333333333333335,0,False,0.7224307179450988,True
2025-01-08,long,short,2025-01-08 11:21:00-05:00,21355.5,2025-01-08 11:22:00-05:00,21351.5,-568.0,71,497.0,win,target,21359.0,21318.0,2025-01-08 11:04:00-05:00,2025-01-08 11:04:00-05:00,2025-01-08 11:21:00-05:00,3.5,21351.25,,,0.07926829268292683,1,False,0.7865397453308105,True
2025-01-08,short,long,2025-01-08 11:26:00-05:00,21355.0,2025-01-08 11:27:00-05:00,21348.25,,40,500.0,loss,stop,21348.75,21373.0,2025-01-08 11:25:00-05:00,2025-01-08 11:25:00-05:00,2025-01-08 11:26:00-05:00,6.25,21362.5,,,0.24742268041237114,0,False,0.8673426628112793,True
2025-01-08,short,long,2025-01-08 11:29:00-05:00,21340.25,2025-01-08 11:31:00-05:00,21348.0,-573.5,37,499.5,win,target,21333.5,21373.0,2025-01-08 11:28:00-05:00,2025-01-08 11:28:00-05:00,2025-01-08 11:29:00-05:00,6.75,21348.25,,,0.16455696202531644,0,False,0.7810478806495667,True
2025-01-13,short,long,2025-01-13 10:14:00-05:00,20783.0,2025-01-13 10:15:00-05:00,20772.5,567.0,27,499.5,loss,stop,20773.75,20841.25,2025-01-13 10:02:00-05:00,2025-01-13 10:02:00-05:00,2025-01-13 10:02:00-05:00,9.25,20794.0,2025-01-13 10:15:00-05:00,20773.75,0.13333333333333333,0,False,0.8172099351882934,True
2025-01-13,short,long,2025-01-13 11:07:00-05:00,20767.0,2025-01-13 11:08:30-05:00,20777.0,-580.0,29,493.0,win,target,20758.5,20880.0,2025-01-13 11:06:00-05:00,2025-01-13 11:06:00-05:00,2025-01-13 11:07:00-05:00,8.5,20777.25,,,0.06790123456790123,1,False,0.9113725543022155,True
2025-01-13,short,long,2025-01-13 11:12:00-05:00,20768.0,2025-01-13 11:18:00-05:00,20754.5,648.0,24,492.0,loss,stop,20757.75,20880.0,2025-01-13 11:10:00-05:00,2025-01-13 11:10:00-05:00,2025-01-13 11:10:00-05:00,10.25,20780.25,2025-01-13 11:18:00-05:00,20757.75,0.081799591002045,0,False,0.9247058868408203,True
2025-01-13,short,long,2025-01-13 11:39:00-05:00,20772.0,2025-01-13 11:41:00-05:00,20781.25,-573.5,31,496.0,win,target,20764.0,20808.75,2025-01-13 11:38:00-05:00,2025-01-13 11:38:00-05:00,2025-01-13 11:39:00-05:00,8.0,20781.5,,,0.17318435754189945,0,False,0.6410178124904633,True
2025-01-13,short,long,2025-01-13 11:56:00-05:00,20757.5,2025-01-13 11:57:00-05:00,20749.5,2656.0,166,498.0,loss,direction_flip,20756.0,20826.75,2025-01-13 11:55:00-05:00,2025-01-13 11:55:00-05:00,2025-01-13 11:56:00-05:00,1.5,20760.0,2025-01-13 11:57:00-05:00,20756.0,0.0176678445229682,1,False,0.9361344575881958,True
2025-01-14,long,short,2025-01-14 09:35:00-05:00,21071.75,2025-01-14 09:36:00-05:00,21087.25,1240.0,40,500.0,loss,direction_flip,21078.0,21018.0,2025-01-14 09:33:00-05:00,2025-01-14 09:33:00-05:00,2025-01-14 09:35:00-05:00,6.25,21064.25,2025-01-14 09:36:00-05:00,21078.0,0.1,1,False,0.8065240740776062,True
2025-01-14,long,short,2025-01-14 10:08:00-05:00,21046.25,2025-01-14 10:09:00-05:00,21061.75,1240.0,40,500.0,loss,stop,21052.5,20965.75,2025-01-14 10:07:00-05:00,2025-01-14 10:07:00-05:00,2025-01-14 10:08:00-05:00,6.25,21038.75,2025-01-14 10:09:00-05:00,21052.5,0.069164265129683,0,False,0.9386666655540467,True
2025-01-14,long,short,2025-01-14 10:11:00-05:00,21067.25,2025-01-14 10:12:00-05:00,21091.5,2182.5,45,495.0,loss,direction_flip,21072.75,20965.75,2025-01-14 10:10:00-05:00,2025-01-14 10:10:00-05:00,2025-01-14 10:10:00-05:00,5.5,21060.75,2025-01-14 10:12:00-05:00,21072.75,0.04906542056074766,0,False,0.7038786768913269,True
2025-01-15,short,long,2025-01-15 09:37:00-05:00,21241.5,2025-01-15 09:38:00-05:00,21205.5,1944.0,27,486.0,loss,direction_flip,21232.5,21285.0,2025-01-15 09:35:00-05:00,2025-01-15 09:35:00-05:00,2025-01-15 09:37:00-05:00,9.0,21252.25,2025-01-15 09:38:00-05:00,21232.5,0.16666666666666666,0,False,0.9509090900421142,True
2025-01-15,short,long,2025-01-15 11:54:00-05:00,21250.5,2025-01-15 11:54:30-05:00,21255.25,-551.0,58,493.0,win,target,21246.25,21408.5,2025-01-15 11:53:00-05:00,2025-01-15 11:53:00-05:00,2025-01-15 11:54:00-05:00,4.25,21255.5,,,0.02465331278890601,2,False,0.6948942303657532,True
2025-01-16,long,short,2025-01-16 11:09:00-05:00,21465.5,2025-01-16 11:10:30-05:00,21456.25,-573.5,31,496.0,win,target,21473.5,21405.75,2025-01-16 09:41:00-05:00,2025-01-16 09:41:00-05:00,2025-01-16 09:41:00-05:00,8.0,21456.0,,,0.11439114391143912,1,False,0.8117835998535157,True
2025-01-17,long,short,2025-01-17 11:24:00-05:00,21605.5,2025-01-17 11:25:00-05:00,21618.75,2941.5,111,499.5,loss,stop,21607.75,21548.25,2025-01-17 09:36:00-05:00,2025-01-17 09:36:00-05:00,2025-01-17 11:23:00-05:00,2.25,21602.75,2025-01-17 11:25:00-05:00,21607.75,0.03361344537815126,1,False,0.6450125515460968,True
2025-01-17,long,short,2025-01-17 11:31:00-05:00,21629.25,2025-01-17 11:31:30-05:00,21619.5,-585.0,30,495.0,win,target,21637.5,21548.25,2025-01-17 11:26:00-05:00,2025-01-17 11:26:00-05:00,2025-01-17 11:27:00-05:00,8.25,21619.25,,,0.0896358543417367,0,False,0.6610827565193176,True
2025-01-17,long,short,2025-01-17 11:37:00-05:00,21611.0,2025-01-17 11:37:30-05:00,21608.0,-540.0,90,495.0,win,target,21613.75,21548.25,2025-01-17 11:36:00-05:00,2025-01-17 11:36:00-05:00,2025-01-17 11:37:00-05:00,2.75,21607.75,,,0.03816793893129771,1,False,0.7963882207870483,True
2025-01-23,short,long,2025-01-23 09:39:00-05:00,21893.25,2025-01-23 09:40:00-05:00,21906.75,-567.0,21,483.0,win,target,21881.75,21909.0,2025-01-23 09:38:00-05:00,2025-01-23 09:38:00-05:00,2025-01-23 09:39:00-05:00,11.5,21907.0,,,0.41284403669724773,0,False,0.7804445624351501,True
2025-01-23,short,long,2025-01-23 09:58:00-05:00,21884.25,2025-01-23 09:58:30-05:00,21891.0,-580.5,43,494.5,win,target,21878.5,21918.25,2025-01-23 09:57:00-05:00,2025-01-23 09:57:00-05:00,2025-01-23 09:57:00-05:00,5.75,21891.25,,,0.13836477987421383,1,False,0.9780357956886292,True
2025-01-23,short,long,2025-01-23 10:03:00-05:00,21875.5,2025-01-23 10:04:00-05:00,21881.25,-575.0,50,500.0,win,target,21870.5,21918.25,2025-01-23 10:02:00-05:00,2025-01-23 10:02:00-05:00,2025-01-23 10:03:00-05:00,5.0,21881.5,,,0.09947643979057591,1,False,0.9375757575035095,True
2025-01-24,long,short,2025-01-24 10:13:00-05:00,22028.5,2025-01-24 10:13:30-05:00,22017.25,-585.0,26,494.0,win,target,22038.0,22014.5,2025-01-24 10:11:00-05:00,2025-01-24 10:11:00-05:00,2025-01-24 10:11:00-05:00,9.5,22017.0,,,0.39361702127659576,0,False,1.0,True
2025-01-28,short,long,2025-01-28 10:10:00-05:00,21318.75,2025-01-28 10:10:30-05:00,21324.25,-572.0,52,494.0,win,target,21314.0,21368.0,2025-01-28 10:09:00-05:00,2025-01-28 10:09:00-05:00,2025-01-28 10:10:00-05:00,4.75,21324.5,,,0.08333333333333333,1,False,0.7000251054763794,True
2025-01-30,long,short,2025-01-30 09:40:00-05:00,21652.0,2025-01-30 09:41:30-05:00,21644.25,-573.5,37,499.5,win,target,21658.75,21597.25,2025-01-30 09:39:00-05:00,2025-01-30 09:39:00-05:00,2025-01-30 09:40:00-05:00,6.75,21644.0,,,0.10569105691056911,0,False,0.8881152391433715,True
2025-01-30,long,short,2025-01-30 09:45:00-05:00,21647.5,2025-01-30 09:46:00-05:00,21656.0,731.0,43,494.5,loss,direction_flip,21653.25,21597.25,2025-01-30 09:44:00-05:00,2025-01-30 09:44:00-05:00,2025-01-30 09:45:00-05:00,5.75,21640.5,2025-01-30 09:46:00-05:00,21653.25,0.09821428571428571,0,False,0.9375757575035095,True
2025-01-30,short,long,2025-01-30 10:02:00-05:00,21648.25,2025-01-30 10:03:00-05:00,21598.25,2400.0,24,492.0,loss,direction_flip,21638.0,21748.75,2025-01-30 10:01:00-05:00,2025-01-30 10:01:00-05:00,2025-01-30 10:01:00-05:00,10.25,21660.5,2025-01-30 10:03:00-05:00,21638.0,0.09029345372460497,1,False,0.6406431913375854,True
2025-02-03,short,long,2025-02-03 09:53:00-05:00,21198.75,2025-02-03 09:53:30-05:00,21205.5,-580.5,43,494.5,win,target,21193.0,21255.25,2025-02-03 09:34:00-05:00,2025-02-03 09:34:00-05:00,2025-02-03 09:53:00-05:00,5.75,21205.75,,,0.08835341365461848,1,False,0.8161394596099854,True
2025-02-05,short,long,2025-02-05 09:53:00-05:00,21557.25,2025-02-05 09:54:00-05:00,21547.0,881.5,43,494.5,loss,stop,21551.5,21587.75,2025-02-05 09:43:00-05:00,2025-02-05 09:43:00-05:00,2025-02-05 09:43:00-05:00,5.75,21564.25,2025-02-05 09:54:00-05:00,21551.5,0.15172413793103448,0,False,0.6749326229095459,True
2025-02-06,long,short,2025-02-06 09:34:00-05:00,21755.75,2025-02-06 09:36:00-05:00,21769.75,616.0,22,495.0,loss,stop,21767.0,21738.0,2025-02-06 09:33:00-05:00,2025-02-06 09:33:00-05:00,2025-02-06 09:34:00-05:00,11.25,21742.25,2025-02-06 09:36:00-05:00,21767.0,0.3793103448275862,1,False,0.8494006037712097,True
2025-02-06,long,short,2025-02-06 09:40:00-05:00,21763.5,2025-02-06 09:45:00-05:00,21788.75,1161.5,23,483.0,loss,direction_flip,21774.0,21738.0,2025-02-06 09:39:00-05:00,2025-02-06 09:39:00-05:00,2025-02-06 09:39:00-05:00,10.5,21751.0,2025-02-06 09:45:00-05:00,21774.0,0.2847222222222222,0,False,0.6549289107322693,True
2025-02-06,long,short,2025-02-06 10:50:00-05:00,21753.75,2025-02-06 10:51:00-05:00,21763.5,838.5,43,494.5,loss,stop,21759.5,21740.25,2025-02-06 10:49:00-05:00,2025-02-06 10:49:00-05:00,2025-02-06 10:50:00-05:00,5.75,21746.75,2025-02-06 10:51:00-05:00,21759.5,0.2857142857142857,0,False,0.6953721880912781,True
2025-02-06,long,short,2025-02-06 10:53:00-05:00,21770.25,2025-02-06 10:53:30-05:00,21766.25,-568.0,71,497.0,win,target,21773.75,21740.25,2025-02-06 10:52:00-05:00,2025-02-06 10:52:00-05:00,2025-02-06 10:53:00-05:00,3.5,21766.0,,,0.09701492537313433,0,False,0.8789916038513184,True
2025-02-06,long,short,2025-02-06 10:59:00-05:00,21772.5,2025-02-06 11:02:00-05:00,21782.25,,23,483.0,loss,,21783.0,21740.25,2025-02-06 10:55:00-05:00,2025-02-06 10:55:00-05:00,2025-02-06 10:58:00-05:00,10.5,21760.0,2025-02-06 11:02:00-05:00,21783.0,0.23976608187134502,0,False,0.8545504450798035,True
2025-02-06,short,long,2025-02-06 11:06:00-05:00,21775.25,2025-02-06 11:07:00-05:00,21783.75,-578.0,34,493.0,win,target,21768.0,21789.0,2025-02-06 11:05:00-05:00,2025-02-06 11:05:00-05:00,2025-02-06 11:06:00-05:00,7.25,21784.0,,,0.3333333333333333,1,False,0.649124538898468,True
2025-02-06,short,long,2025-02-06 11:39:00-05:00,21775.0,2025-02-06 11:46:00-05:00,21763.75,652.5,29,493.0,loss,stop,21766.5,21789.0,2025-02-06 11:08:00-05:00,2025-02-06 11:08:00-05:00,2025-02-06 11:39:00-05:00,8.5,21785.25,2025-02-06 11:46:00-05:00,21766.5,0.36666666666666664,1,False,0.9461538434028626,True
2025-02-06,short,long,2025-02-06 11:51:00-05:00,21774.5,2025-02-06 11:52:00-05:00,21779.75,-577.5,55,495.0,win,target,21770.0,21789.0,2025-02-06 11:50:00-05:00,2025-02-06 11:50:00-05:00,2025-02-06 11:51:00-05:00,4.5,21780.0,,,0.2236842105263158,0,False,0.691206181049347,True
2025-02-06,short,long,2025-02-06 11:58:00-05:00,21772.5,2025-02-06 11:59:00-05:00,21777.0,-558.0,62,496.0,win,target,21768.5,21789.0,2025-02-06 11:54:00-05:00,2025-02-06 11:54:00-05:00,2025-02-06 11:58:00-05:00,4.0,21777.25,,,0.18292682926829268,1,False,0.7201690077781677,True
2025-02-07,short,long,2025-02-07 09:59:00-05:00,21905.0,2025-02-07 10:01:00-05:00,21838.0,2948.0,22,495.0,loss,direction_flip,21893.75,21967.75,2025-02-07 09:58:00-05:00,2025-02-07 09:58:00-05:00,2025-02-07 09:58:00-05:00,11.25,21918.5,2025-02-07 10:01:00-05:00,21893.75,0.14864864864864866,1,False,0.7077703833580017,True
2025-02-10,long,short,2025-02-10 09:35:00-05:00,21751.75,2025-02-10 09:36:00-05:00,21766.25,1247.0,43,494.5,loss,stop,21757.5,21742.25,2025-02-10 09:34:00-05:00,2025-02-10 09:34:00-05:00,2025-02-10 09:34:00-05:00,5.75,21744.75,2025-02-10 09:36:00-05:00,21757.5,0.36065573770491804,0,False,0.7529720306396485,True
2025-02-14,long,short,2025-02-14 09:44:00-05:00,22105.75,2025-02-14 09:44:30-05:00,22101.75,-568.0,71,497.0,win,target,22109.25,22091.0,2025-02-14 09:43:00-05:00,2025-02-14 09:43:00-05:00,2025-02-14 09:43:00-05:00,3.5,22101.5,,,0.1780821917808219,0,False,0.6943432807922363,True
