Open Date,Open Time,Side,labeled_category,predicted_category,zone_over_range,pivot_over_range,match
2025-01-03,09:38:00 EST,long,medium,medium,0.17580340264650285,0.18525519848771266,True
2025-01-06,09:38:00 EST,long,low,medium,0.09481915933528837,0.1466275659824047,False
2025-01-07,09:57:00 EST,short,high,medium,0.20858164481525626,0.23837902264600716,False
2025-01-10,09:37:00 EST,short,low,medium,0.1124031007751938,0.237984496124031,False
2025-01-13,10:04:59 EST,long,medium,medium,0.33462532299741604,0.3488372093023256,True
2025-01-16,09:42:59 EST,short,medium,medium,0.31053351573187415,0.3707250341997264,True
2025-01-17,09:36:59 EST,short,low,medium,0.16834170854271358,0.19472361809045227,False
2025-01-20,09:35:29 EST,long,low,low,0.06687898089171974,0.09713375796178345,True
2025-01-23,09:39:30 EST,long,medium,medium,0.16743119266055045,0.25,True
2025-01-24,09:52:00 EST,long,medium,medium,0.11754684838160136,0.14991482112436116,True
2025-02-03,09:38:00 EST,long,medium,medium,0.102312543798178,0.13805185704274703,True
2025-02-10,09:57:59 EST,long,high,high,0.2079207920792079,0.3795379537953795,True
2025-02-13,09:53:30 EST,long,medium,medium,0.11995515695067265,0.257847533632287,True
2025-02-14,09:44:30 EST,short,low,medium,0.11044776119402985,0.21791044776119403,False
2025-02-14,09:56:00 EST,long,medium,medium,0.17313432835820897,0.2955223880597015,True
2025-02-18,09:44:00 EST,short,low,low,0.06727037516170763,0.23285899094437257,True
2025-02-19,09:42:30 EST,short,low,low,0.043243243243243246,0.1009009009009009,True
2025-02-20,09:44:30 EST,short,high,medium,0.10678733031674208,0.1520361990950226,False
2025-02-24,09:39:30 EST,short,low,medium,0.08943089430894309,0.09078590785907859,False
2025-02-25,09:35:00 EST,short,medium,medium,0.08860011813349085,0.0939161252215003,True
2025-02-25,09:41:00 EST,short,medium,medium,0.10632014176018902,0.14116952155936208,True
2025-02-26,09:47:30 EST,long,medium,medium,0.15254237288135594,0.3615819209039548,True
2025-02-28,09:48:29 EST,long,medium,medium,0.15354330708661418,0.22992125984251968,True
2025-02-28,10:04:59 EST,long,medium,medium,0.19055118110236222,0.3236220472440945,True
2025-11-04,09:38:30 EST,short,medium,medium,0.16898608349900596,0.2345924453280318,True
2025-11-04,09:49:00 EST,long,medium,medium,0.16003976143141152,0.18687872763419483,True
2025-11-06,09:35:00 EST,short,low,low,0.021663778162911613,0.053292894280762566,True
2025-11-11,10:13:30 EST,short,medium,medium,0.31044776119402984,0.3238805970149254,True
