entry_key
2025-02-05|09:44:00|long
2025-02-06|09:52:30|long
2025-04-25|10:07:30|long
2025-05-06|10:12:00|long
2025-05-23|09:52:59|long
2025-05-27|09:58:29|long
2025-06-02|10:06:59|short
2025-06-03|10:12:29|long
2025-06-04|09:33:59|long
2025-06-05|09:37:59|short
2025-06-06|09:59:59|long
2025-06-06|10:46:29|long
2025-06-11|09:42:59|short
2025-06-12|09:41:59|long
2025-06-13|10:26:59|short
2025-06-17|10:08:59|long
2025-06-20|09:38:30|long
2025-06-20|09:55:29|short
2025-06-23|09:44:59|long
2025-06-25|09:39:29|long
2025-07-08|09:45:00|short
2025-07-11|10:05:59|long
2025-07-14|10:51:59|long
2025-07-17|09:38:59|short
2025-07-28|09:43:29|long
2025-07-30|09:40:59|long
2025-07-30|10:21:59|long
2025-07-31|10:11:59|short
