open_date,direction,displacement_category,entry_time,pivot_time,flem_time,current_time,label,retrace,pivot_price,flem_price,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,score,pred_top2
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:00:00-05:00,0,6.339622641509434,21066.75,21093.25,26.5,15840.0,6.25,6.25,6.25,1.0,1,1,5.788507273545764e-10,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:00:30-05:00,0,6.245283018867925,21066.75,21093.25,26.5,15870.0,2.5,8.75,4.375,0.5,1,2,3.4587537173687027e-10,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:01:00-05:00,0,6.245283018867925,21066.75,21093.25,26.5,15900.0,0.25,9.0,3.0,0.3333333333333333,1,3,2.944474868731265e-10,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:01:30-05:00,0,6.235849056603773,21066.75,21093.25,26.5,15930.0,0.75,9.75,2.4375,0.25,1,4,3.2034608969050235e-10,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:02:00-05:00,0,6.415094339622642,21066.75,21093.25,26.5,15960.0,5.25,15.0,3.0,0.4,1,5,5.269509907727391e-10,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:02:30-05:00,0,6.40566037735849,21066.75,21093.25,26.5,15990.0,0.25,15.25,2.5416666666666665,0.3333333333333333,1,6,6.697472474807698e-10,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:03:00-05:00,0,6.462264150943396,21066.75,21093.25,26.5,16020.0,1.5,16.75,2.392857142857143,0.4285714285714285,1,7,9.18884340805783e-10,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:03:30-05:00,0,6.471698113207547,21066.75,21093.25,26.5,16050.0,0.0,16.75,2.09375,0.375,1,8,1.151947822876924e-09,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:04:00-05:00,0,6.39622641509434,21066.75,21093.25,26.5,16080.0,1.75,18.5,2.0555555555555554,0.3333333333333333,1,9,1.4694088006575278e-09,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:04:30-05:00,0,6.2924528301886795,21066.75,21093.25,26.5,16110.0,2.5,21.0,2.1,0.3,1,10,1.9697703104539702e-09,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:05:00-05:00,0,6.264150943396227,21066.75,21093.25,26.5,16140.0,0.5,21.5,1.9545454545454544,0.2727272727272727,1,11,2.6577647447137803e-09,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:05:30-05:00,0,6.311320754716981,21066.75,21093.25,26.5,16170.0,1.25,22.75,1.8958333333333333,0.3333333333333333,1,12,3.6966197609332845e-09,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:06:00-05:00,0,6.669811320754717,21066.75,21093.25,26.5,16200.0,9.5,32.25,2.480769230769231,0.3846153846153846,2,13,5.980195374396051e-09,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:06:30-05:00,0,6.962264150943396,21066.75,21093.25,26.5,16230.0,8.0,40.25,2.875,0.4285714285714285,3,14,1.1100769602862476e-08,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:07:00-05:00,0,6.9245283018867925,21066.75,21093.25,26.5,16260.0,0.75,41.0,2.7333333333333334,0.4,3,15,1.6663564946000872e-08,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:07:30-05:00,0,6.9245283018867925,21066.75,21093.25,26.5,16290.0,0.5,41.5,2.59375,0.375,3,16,2.1775031064594966e-08,0
2025-01-03,long,medium,2025-01-03 09:38:00-05:00,2025-01-03 04:36:00-05:00,2025-01-03 04:33:00-05:00,2025-01-03 09:08:00-05:00,0,6.9245283018867925,21066.75,21093.25,26.5,16320.0,0.25,41.75,2.4558823529411766,0.4117647058823529,3,17,2.971912497459787e-08,0
