open_date,direction,entry_time,pivot_time,outcome,label_win,retrace,pivot_flem_dist,time_since_pivot_sec,body_last,body_sum,body_mean,in_dir_ratio,max_in_dir_run,bars_since_pivot,zone_over_range,pivot_over_range,dist_to_extrema_atr,zone_to_extrema_atr,hod_rel_entry_atr,lod_rel_entry_atr
2025-01-03,long,2025-01-03 09:57:00-05:00,2025-01-03 09:52:00-05:00,loss,0,0.5535714285714286,126.0,300.0,8.75,107.5,9.772727272727272,0.6363636363636364,4,11,0.2503961965134706,0.7987321711568938,2.1028307336799537,3.825534373194685,2.4101675332177934,0.0
2025-01-06,long,2025-01-06 09:37:00-05:00,2025-01-06 09:37:00-05:00,win,1,0.58,37.5,0.0,5.75,5.75,5.75,0.0,0,1,0.6,0.4918032786885246,0.7508532423208191,0.8327645051194539,0.48464163822525597,0.0
2025-01-08,short,2025-01-08 10:43:00-05:00,2025-01-08 10:41:00-05:00,win,1,0.88,18.75,120.0,6.0,46.25,9.25,0.8,3,5,0.1688125894134478,0.1072961373390558,3.0475552578700604,3.628935030140656,0.0,2.925653047555258
2025-01-08,long,2025-01-08 10:55:00-05:00,2025-01-08 10:55:00-05:00,loss,0,0.5104895104895105,35.75,0.0,5.25,5.25,5.25,0.0,0,1,0.1688125894134478,0.2045779685264663,3.100261551874455,2.3679163034001744,2.929380993897123,0.0
2025-01-08,short,2025-01-08 11:05:00-05:00,2025-01-08 11:04:00-05:00,win,1,1.0327868852459017,15.25,60.0,5.25,18.5,6.166666666666667,1.0,3,3,0.1688125894134478,0.0872675250357653,4.2745098039215685,5.0588235294117645,0.0,4.392156862745098
2025-01-13,long,2025-01-13 10:06:00-05:00,2025-01-13 10:02:00-05:00,loss,0,0.7148148148148148,67.5,240.0,5.25,81.0,9.0,0.7777777777777778,3,9,0.1522094926350245,0.44189852700491,1.0173333333333334,2.9026666666666667,0.15866666666666668,0.0
2025-01-14,long,2025-01-14 09:42:00-05:00,2025-01-14 09:40:00-05:00,loss,0,0.6289308176100629,39.75,120.0,17.5,44.75,8.95,0.6,2,5,0.4224719101123595,0.3573033707865168,0.1378396288933068,1.5679257786613652,0.3359840954274354,0.0
2025-01-14,short,2025-01-14 10:28:00-05:00,2025-01-14 10:27:00-05:00,win,1,0.9629629629629628,33.75,60.0,4.25,18.75,6.25,1.0,3,3,0.2874617737003058,0.2064220183486238,2.8491620111731844,3.1731843575418996,0.0,2.536312849162011
2025-01-16,short,2025-01-16 09:43:00-05:00,2025-01-16 09:41:00-05:00,win,1,0.4760147601476014,67.75,120.0,24.75,47.25,9.45,1.0,5,5,0.3827493261455525,0.7304582210242587,0.4144144144144144,2.063063063063063,0.0,0.07207207207207207
2025-01-17,short,2025-01-17 09:38:00-05:00,2025-01-17 09:37:00-05:00,win,1,0.7935483870967742,38.75,60.0,18.25,34.75,11.583333333333334,0.6666666666666666,1,3,0.5845213849287169,0.3156822810590631,0.1816143497757847,1.3721973094170403,0.0,0.06053811659192825
2025-01-20,long,2025-01-20 10:09:00-05:00,2025-01-20 10:08:00-05:00,loss,0,0.803030303030303,16.5,60.0,6.5,11.25,3.75,0.3333333333333333,1,3,0.2172284644194756,0.247191011235955,3.968970380818053,3.968970380818053,3.9097320169252465,0.0
2025-01-23,long,2025-01-23 10:31:00-05:00,2025-01-23 10:21:00-05:00,win,1,0.8349514563106796,25.75,600.0,1.75,83.0,3.952380952380953,0.5714285714285714,4,21,0.4449760765550239,0.492822966507177,1.6661157024793387,2.5454545454545454,2.0826446280991737,0.0
2025-01-24,short,2025-01-24 10:12:00-05:00,2025-01-24 10:11:00-05:00,win,1,0.5957446808510638,23.5,60.0,12.5,34.5,11.5,0.3333333333333333,1,3,0.2147435897435897,0.3012820512820512,2.309604519774011,2.2779661016949153,0.0,1.8192090395480225
2025-01-28,long,2025-01-28 10:12:00-05:00,2025-01-28 10:10:00-05:00,win,1,0.3981481481481481,54.0,120.0,10.75,38.75,7.75,0.8,2,5,0.1145958986731001,0.2605548854041013,0.8911917098445595,2.0,0.44559585492227977,0.0
2025-01-31,long,2025-01-31 09:45:00-05:00,2025-01-31 09:44:00-05:00,win,1,0.875,36.0,60.0,13.0,35.25,11.75,0.6666666666666666,2,3,0.3602693602693603,0.4848484848484848,1.3086053412462908,1.900593471810089,1.5474777448071215,0.0
2025-02-05,long,2025-02-05 09:44:00-05:00,2025-02-05 09:43:00-05:00,loss,0,0.6482758620689655,36.25,60.0,7.75,19.5,6.5,0.6666666666666666,2,3,0.3345454545454545,0.5272727272727272,1.0907424381301558,1.527039413382218,0.8340971585701191,0.0
2025-02-05,short,2025-02-05 10:13:00-05:00,2025-02-05 10:06:00-05:00,loss,0,0.7222222222222222,45.0,420.0,12.75,90.0,6.0,0.6,5,15,0.2129629629629629,0.4166666666666667,0.9412532637075718,1.2428198433420363,0.0,1.3616187989556134
