day,direction,virtual_direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score,mirror_mode
2026-01-02,short,short,2026-01-02 09:36:00-05:00,25656.25,2026-01-02 09:37:00-05:00,25697.75,-581.0,7,465.5,loss,stop,25689.5,25654.25,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,2026-01-02 09:35:00-05:00,33.25,25616.25,2026-01-02 09:37:00-05:00,25689.5,0.9361702127659575,0,False,0.7423615694046021,False
2026-01-02,long,short,2026-01-02 09:45:00-05:00,25690.0,2026-01-02 09:46:00-05:00,25697.25,536.5,37,499.5,loss,stop,25696.75,25638.0,2026-01-02 09:44:00-05:00,2026-01-02 09:44:00-05:00,2026-01-02 09:45:00-05:00,6.75,25682.0,2026-01-02 09:46:00-05:00,25696.75,0.11063829787234042,0,False,0.6406431913375854,True
2026-01-02,short,long,2026-01-02 10:06:00-05:00,25734.0,2026-01-02 10:08:00-05:00,25707.75,1365.0,26,494.0,loss,stop,25724.5,25803.5,2026-01-02 10:00:00-05:00,2026-01-02 10:00:00-05:00,2026-01-02 10:06:00-05:00,9.5,25745.5,2026-01-02 10:08:00-05:00,25724.5,0.11708860759493671,1,False,0.9786666631698608,True
2026-01-02,short,long,2026-01-02 10:11:00-05:00,25684.0,2026-01-02 10:12:00-05:00,25656.75,2997.5,55,495.0,loss,direction_flip,25679.5,25803.5,2026-01-02 10:10:00-05:00,2026-01-02 10:10:00-05:00,2026-01-02 10:11:00-05:00,4.5,25689.5,2026-01-02 10:12:00-05:00,25679.5,0.034274193548387094,0,False,0.7391181707382202,True
2026-01-05,short,short,2026-01-05 09:47:00-05:00,25613.0,2026-01-05 09:48:00-05:00,25589.5,564.0,12,474.0,win,target,25632.75,25538.5,2026-01-05 09:46:00-05:00,2026-01-05 09:46:00-05:00,2026-01-05 09:47:00-05:00,19.75,25589.25,,,0.20689655172413793,0,False,0.7125150442123414,False
2026-01-05,long,short,2026-01-05 10:04:00-05:00,25621.25,2026-01-05 10:05:00-05:00,25634.75,594.0,22,495.0,loss,stop,25632.5,25538.5,2026-01-05 10:03:00-05:00,2026-01-05 10:03:00-05:00,2026-01-05 10:04:00-05:00,11.25,25607.75,2026-01-05 10:05:00-05:00,25632.5,0.11702127659574468,0,False,0.6996385097503662,True
2026-01-05,short,short,2026-01-05 10:07:00-05:00,25620.5,2026-01-05 10:10:00-05:00,25647.5,-486.0,9,459.0,loss,stop,25646.0,25538.5,2026-01-05 10:06:00-05:00,2026-01-05 10:06:00-05:00,2026-01-05 10:07:00-05:00,25.5,25590.0,2026-01-05 10:10:00-05:00,25646.0,0.23488372093023255,0,False,0.6549289107322693,False
2026-01-05,long,short,2026-01-05 10:13:00-05:00,25632.75,2026-01-05 10:17:00-05:00,25650.5,710.0,20,480.0,loss,stop,25644.75,25538.5,2026-01-05 10:12:00-05:00,2026-01-05 10:12:00-05:00,2026-01-05 10:13:00-05:00,12.0,25618.25,2026-01-05 10:17:00-05:00,25644.75,0.11058823529411765,0,False,1.0,True
2026-01-05,long,short,2026-01-05 10:19:00-05:00,25654.5,2026-01-05 10:20:00-05:00,25662.0,555.0,37,499.5,loss,stop,25661.25,25538.5,2026-01-05 10:18:00-05:00,2026-01-05 10:18:00-05:00,2026-01-05 10:19:00-05:00,6.75,25646.5,2026-01-05 10:20:00-05:00,25661.25,0.05295315682281059,0,False,0.681536340713501,True
2026-01-05,long,short,2026-01-05 10:25:00-05:00,25662.0,2026-01-05 10:25:30-05:00,25659.75,-562.5,125,500.0,win,target,25664.0,25538.5,2026-01-05 10:22:00-05:00,2026-01-05 10:22:00-05:00,2026-01-05 10:25:00-05:00,2.0,25659.5,,,0.013944223107569721,0,False,0.9909090876579285,True
2026-01-05,long,long,2026-01-05 10:34:00-05:00,25690.0,2026-01-05 10:38:00-05:00,25660.25,-595.0,10,470.0,loss,stop,25666.5,25684.0,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,2026-01-05 10:30:00-05:00,23.5,25718.25,2026-01-05 10:38:00-05:00,25666.5,1.3285714285714285,0,False,0.6668892621994018,False
2026-01-05,short,long,2026-01-05 10:40:00-05:00,25655.25,2026-01-05 10:40:30-05:00,25661.0,-575.0,50,500.0,win,target,25650.25,25684.0,2026-01-05 10:39:00-05:00,2026-01-05 10:39:00-05:00,2026-01-05 10:40:00-05:00,5.0,25661.25,,,0.14074074074074075,0,False,0.8965240716934204,True
2026-01-06,long,short,2026-01-06 09:44:00-05:00,25640.25,2026-01-06 09:44:30-05:00,25636.0,-561.0,66,495.0,win,target,25644.0,25608.75,2026-01-06 09:43:00-05:00,2026-01-06 09:43:00-05:00,2026-01-06 09:44:00-05:00,3.75,25635.75,,,0.09929078014184398,0,False,0.6549289107322693,True
2026-01-07,short,long,2026-01-07 09:38:00-05:00,25807.5,2026-01-07 09:39:00-05:00,25819.5,-576.0,24,492.0,win,target,25797.25,25832.75,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,2026-01-07 09:37:00-05:00,10.25,25819.75,,,0.28169014084507044,0,False,0.6406431913375854,True
2026-01-08,short,short,2026-01-08 09:43:00-05:00,25638.75,2026-01-08 11:00:00-05:00,25685.0,-185.0,2,500.0,forced_close,forced_close,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,125.0,25488.75,,,3.5899280575539567,1,False,0.6410827517509461,False
2026-01-09,long,long,2026-01-09 09:50:00-05:00,25706.0,2026-01-09 09:54:00-05:00,25745.0,546.0,7,458.5,win,target,25673.25,25791.0,2026-01-09 09:49:00-05:00,2026-01-09 09:49:00-05:00,2026-01-09 09:50:00-05:00,32.75,25745.25,,,0.2760084925690021,1,False,0.7077922105789185,False
2026-01-09,long,long,2026-01-09 09:57:00-05:00,25713.25,2026-01-09 09:59:30-05:00,25741.0,555.0,10,465.0,win,target,25690.0,25791.0,2026-01-09 09:56:00-05:00,2026-01-09 09:56:00-05:00,2026-01-09 09:57:00-05:00,23.25,25741.25,,,0.22772277227722773,0,False,0.9786666631698608,False
2026-01-09,short,long,2026-01-09 10:02:00-05:00,25710.0,2026-01-09 10:02:30-05:00,25719.75,-585.0,30,495.0,win,target,25701.75,25791.0,2026-01-09 10:01:00-05:00,2026-01-09 10:01:00-05:00,2026-01-09 10:02:00-05:00,8.25,25720.0,,,0.0896358543417367,0,False,0.6675150394439697,True
2026-01-09,short,long,2026-01-09 10:06:00-05:00,25704.25,2026-01-09 10:07:00-05:00,25671.75,1950.0,30,495.0,loss,stop,25696.0,25791.0,2026-01-09 10:05:00-05:00,2026-01-09 10:05:00-05:00,2026-01-09 10:06:00-05:00,8.25,25714.25,2026-01-09 10:07:00-05:00,25696.0,0.08421052631578947,0,False,0.6963030219078064,True
2026-01-09,long,short,2026-01-09 10:12:00-05:00,25674.75,2026-01-09 10:13:00-05:00,25724.5,2288.5,23,494.5,loss,direction_flip,25685.5,25615.75,2026-01-09 10:11:00-05:00,2026-01-09 10:11:00-05:00,2026-01-09 10:12:00-05:00,10.75,25661.75,2026-01-09 10:13:00-05:00,25685.5,0.15053763440860216,0,False,0.7380743145942688,True
