day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-03-03,long,2026-03-03 09:41:00-05:00,24598.5,2026-03-03 09:42:00-05:00,24560.25,-267.75,7,441.0,loss,stop,24567.0,24661.0,2026-03-03 09:40:00-05:00,2026-03-03 09:40:00-05:00,2026-03-03 09:41:00-05:00,31.5,24636.3,2026-03-03 09:42:00-05:00,24567.0,0.3351063829787234,0,False,0.5719318211078643
2026-03-03,long,2026-03-03 09:44:00-05:00,24549.75,2026-03-03 09:46:00-05:00,24571.95,66.60000000000218,3,111.0,win,target_scale1,24531.25,24661.0,2026-03-03 09:43:00-05:00,2026-03-03 09:43:00-05:00,2026-03-03 09:44:00-05:00,18.5,24571.95,,,0.14258188824662812,0,False,0.5390987634658814
2026-03-03,long,2026-03-03 09:44:00-05:00,24549.75,2026-03-03 09:46:30-05:00,24596.0,138.75,3,111.0,win,target_scale2,24531.25,24661.0,2026-03-03 09:43:00-05:00,2026-03-03 09:43:00-05:00,2026-03-03 09:44:00-05:00,18.5,24596.0,,,0.14258188824662812,0,False,0.5390987634658814
2026-03-03,long,2026-03-03 09:44:00-05:00,24549.75,2026-03-03 09:49:00-05:00,24521.75,-84.0,3,111.0,loss,stop,24531.25,24661.0,2026-03-03 09:43:00-05:00,2026-03-03 09:43:00-05:00,2026-03-03 09:44:00-05:00,18.5,24623.75,2026-03-03 09:49:00-05:00,24531.25,0.14258188824662812,0,False,0.5390987634658814
2026-03-03,short,2026-03-03 09:52:00-05:00,24527.5,2026-03-03 09:59:30-05:00,24480.1,47.400000000001455,1,79.0,win,target_scale1,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,39.5,24480.1,,,0.4968553459119497,0,False,0.590854161977768
2026-03-03,short,2026-03-03 09:52:00-05:00,24527.5,2026-03-03 10:18:00-05:00,24448.5,158.0,2,158.0,win,target_scale2,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,39.5,24448.5,,,0.4968553459119497,0,False,0.590854161977768
2026-03-03,short,2026-03-03 09:52:00-05:00,24527.5,2026-03-03 10:21:30-05:00,24409.0,355.5,3,237.0,win,target,24567.0,24487.5,2026-03-03 09:51:00-05:00,2026-03-03 09:51:00-05:00,2026-03-03 09:52:00-05:00,39.5,24409.0,,,0.4968553459119497,0,False,0.590854161977768
2026-03-03,long,2026-03-03 11:32:00-05:00,24586.75,2026-03-03 11:32:30-05:00,24592.75,72.0,12,120.0,win,target_scale1,24581.75,24642.5,2026-03-03 11:31:00-05:00,2026-03-03 11:31:00-05:00,2026-03-03 11:32:00-05:00,5.0,24592.75,,,0.0823045267489712,0,False,0.6016813576221466
2026-03-03,long,2026-03-03 11:32:00-05:00,24586.75,2026-03-03 11:33:00-05:00,24577.25,-114.0,12,120.0,loss,stop,24581.75,24642.5,2026-03-03 11:31:00-05:00,2026-03-03 11:31:00-05:00,2026-03-03 11:32:00-05:00,5.0,24599.25,2026-03-03 11:33:00-05:00,24581.75,0.0823045267489712,0,False,0.6016813576221466
2026-03-03,long,2026-03-03 11:35:00-05:00,24608.5,2026-03-03 11:46:00-05:00,24663.1,54.599999999998545,1,91.0,win,target_scale1,24563.0,24642.5,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,2026-03-03 11:34:00-05:00,45.5,24663.1,,,0.5723270440251572,1,False,0.6618681192398072
