day,direction,entry_time,entry_price,exit_time,exit_price,pnl,contracts,risk_dollars,outcome,exit_reason,pivot,flem,flem_saved_time,reentry_time,pivot_time,risk,target,stop_time,stop_price,retrace_at_entry,strong_count_recent3,very_strong,pwin_score
2026-01-08,short,2026-01-08 09:34:00-05:00,25731.75,2026-01-08 09:42:30-05:00,25635.75,384.0,4,256.0,win,target,25763.75,25729.0,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,2026-01-08 09:33:00-05:00,32.0,25635.75,,,0.920863309352518,0,False,0.5844428896903991
2026-01-09,long,2026-01-09 09:54:00-05:00,25748.25,2026-01-09 10:07:00-05:00,25672.0,-228.75,3,450.0,loss,stop,25673.25,25791.0,2026-01-09 09:49:00-05:00,2026-01-09 09:49:00-05:00,2026-01-09 09:50:00-05:00,75.0,25838.25,2026-01-09 10:07:00-05:00,25673.25,0.6369426751592356,1,False,0.40769231915473936
2026-01-13,long,2026-01-13 09:54:00-05:00,25988.75,2026-01-13 10:03:00-05:00,25906.0,-413.75,5,482.5,loss,direction_flip,25940.5,26043.0,2026-01-13 09:44:00-05:00,2026-01-13 09:44:00-05:00,2026-01-13 09:52:00-05:00,48.25,26046.65,2026-01-13 10:03:00-05:00,25940.5,0.47073170731707314,1,False,0.4600732743740082
2026-01-13,short,2026-01-13 10:09:00-05:00,25924.75,2026-01-13 10:15:30-05:00,25885.15,39.599999999998545,1,66.0,win,target_scale1,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,33.0,25885.15,,,0.5057471264367817,0,False,0.5813413918018341
2026-01-13,short,2026-01-13 10:09:00-05:00,25924.75,2026-01-13 10:20:30-05:00,25858.75,132.0,2,132.0,win,target_scale2,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,33.0,25858.75,,,0.5057471264367817,0,False,0.5813413918018341
2026-01-13,short,2026-01-13 10:09:00-05:00,25924.75,2026-01-13 10:25:30-05:00,25825.75,396.0,4,264.0,win,target,25957.75,25892.5,2026-01-13 10:05:00-05:00,2026-01-13 10:05:00-05:00,2026-01-13 10:06:00-05:00,33.0,25825.75,,,0.5057471264367817,0,False,0.5813413918018341
2026-01-14,short,2026-01-14 09:40:00-05:00,25696.25,2026-01-14 09:41:30-05:00,25661.15,70.19999999999709,2,117.0,win,target_scale1,25725.5,25695.0,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,29.25,25661.15,,,0.9590163934426229,0,False,0.7122619152069092
2026-01-14,short,2026-01-14 09:40:00-05:00,25696.25,2026-01-14 09:43:30-05:00,25637.75,117.0,2,117.0,win,target_scale2,25725.5,25695.0,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,29.25,25637.75,,,0.9590163934426229,0,False,0.7122619152069092
2026-01-14,short,2026-01-14 09:40:00-05:00,25696.25,2026-01-14 09:55:30-05:00,25608.5,351.0,4,234.0,win,target,25725.5,25695.0,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,2026-01-14 09:39:00-05:00,29.25,25608.5,,,0.9590163934426229,0,False,0.7122619152069092
2026-01-15,short,2026-01-15 09:59:00-05:00,25883.5,2026-01-15 10:07:30-05:00,25841.8,41.70000000000073,1,69.5,win,target_scale1,25918.25,25842.75,2026-01-15 09:55:00-05:00,2026-01-15 09:55:00-05:00,2026-01-15 09:56:00-05:00,34.75,25841.8,,,0.4602649006622517,0,False,0.6177762269973754
